log_type;participant_id;keyboard_type;txt_file;key_limit;key_code;key_value;content;timestamp;word_time_in_s;sentence_time_in_s;words_per_minute
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;87;W;"W";2021-05-18 16:10:51.594541;NaN;NaN;82758.62068965517
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;196;ä;"Wä";2021-05-18 16:10:51.994412;NaN;NaN;59.99625023436035
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre";2021-05-18 16:10:53.770152;2.175529;NaN;22.061297314588586
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre e";2021-05-18 16:10:53.970387;NaN;NaN;25.252620906392323
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ei";2021-05-18 16:10:54.089741;NaN;NaN;28.853737200161586
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein";2021-05-18 16:10:55.785533;1.815139;NaN;20.042294012340804
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;80;P;"Wäre ein P";2021-05-18 16:10:56.066090;NaN;NaN;21.468359774823742
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pi";2021-05-18 16:10:56.314752;NaN;NaN;22.879596336129232
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin";2021-05-18 16:10:56.986640;0.920573;NaN;31.155865935567075
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;86;v;"Wäre ein Pinguin v";2021-05-18 16:10:57.993753;NaN;NaN;28.12782157210145
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pinguin vi";2021-05-18 16:10:58.225909;NaN;NaN;28.95264267507942
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht";2021-05-18 16:10:58.946588;0.952822;NaN;39.17199115583489
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;68;d;"Wäre ein Pinguin vielleicht d";2021-05-18 16:10:59.561566;NaN;NaN;37.654524755967294
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pinguin vielleicht di";2021-05-18 16:10:59.746157;NaN;NaN;38.273896343984184
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die";2021-05-18 16:10:59.856074;NaN;NaN;39.21721945798655
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht die";2021-05-18 16:11:00.097958;0.536374;NaN;38.10168469421223
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;66;B;"Wäre ein Pinguin vielleicht die B";2021-05-18 16:11:00.569861;NaN;NaN;37.43538635602724
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Wäre ein Pinguin vielleicht die";2021-05-18 16:11:01.497856;NaN;NaN;32.71581227909254
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;66;b;"Wäre ein Pinguin vielleicht die b";2021-05-18 16:11:02.009611;NaN;NaN;32.26046794576861
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die be";2021-05-18 16:11:02.126474;NaN;NaN;33.0419156639284
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Wäre ein Pinguin vielleicht die bes";2021-05-18 16:11:03.014818;NaN;NaN;31.522480651107347
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht die bessere";2021-05-18 16:11:04.465839;3.895964;NaN;31.69808013740807
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;E;"Wäre ein Pinguin vielleicht die bessere E";2021-05-18 16:11:04.953803;NaN;NaN;31.438521185858026
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Wäre ein Pinguin vielleicht die bessere En";2021-05-18 16:11:05.103778;NaN;NaN;31.9777718954469
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;84;t;"Wäre ein Pinguin vielleicht die bessere Ent";2021-05-18 16:11:05.398828;NaN;NaN;32.16358806557026
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;63;?;"Wäre ein Pinguin vielleicht die bessere Ente?";2021-05-18 16:11:06.754425;1.800621;NaN;30.079102101863015
sentence_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777220;<RETURN>;"Wäre ein Pinguin vielleicht die bessere Ente?";2021-05-18 16:11:07.194189;NaN;15.59965;29.23116085337297
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;65;A;"A";2021-05-18 16:11:07.672541;NaN;NaN;29.10783913291479
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;76;l;"Al";2021-05-18 16:11:07.930531;NaN;NaN;29.3826934833532
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Als";2021-05-18 16:11:08.080630;NaN;NaN;29.843063698624356
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als";2021-05-18 16:11:08.688170;1.015644;NaN;28.78241268223303
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Als i";2021-05-18 16:11:09.393757;NaN;NaN;28.315623240632064
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;72;h;"Als ih";2021-05-18 16:11:09.696257;NaN;NaN;28.50533281743837
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;82;r;"Als ihr";2021-05-18 16:11:09.926913;NaN;NaN;28.801284013607305
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr";2021-05-18 16:11:10.512516;1.118786;NaN;27.90975739390526
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;77;M;"Als ihr M";2021-05-18 16:11:11.282166;NaN;NaN;27.428185518354866
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;65;a;"Als ihr Ma";2021-05-18 16:11:11.537975;NaN;NaN;27.678071536382674
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann";2021-05-18 16:11:12.529550;1.247375;NaN;27.513531904925653
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;70;f;"Als ihr Mann f";2021-05-18 16:11:13.433565;NaN;NaN;26.924092740495343
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;220;ü;"Als ihr Mann fü";2021-05-18 16:11:14.001728;NaN;NaN;26.776937666234577
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;82;r;"Als ihr Mann für";2021-05-18 16:11:14.118914;NaN;NaN;27.170393931199502
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für";2021-05-18 16:11:14.329777;0.896185;NaN;26.918397669183445
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Als ihr Mann für s";2021-05-18 16:11:14.658099;NaN;NaN;27.055499283874752
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Als ihr Mann für si";2021-05-18 16:11:14.898011;NaN;NaN;27.29189362529594
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie";2021-05-18 16:11:15.586215;0.928074;NaN;27.009204511820922
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;68;d;"Als ihr Mann für sie d";2021-05-18 16:11:16.273455;NaN;NaN;26.743321129059257
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;65;a;"Als ihr Mann für sie da";2021-05-18 16:11:16.505895;NaN;NaN;26.975485666122083
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777234;;"Als ihr Mann für sie da";2021-05-18 16:11:17.554711;1.281251;NaN;25.885664330344216
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777237;;"Als ihr Mann für sie da";2021-05-18 16:11:17.967851;NaN;NaN;25.48017039863954
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777236;;"Als ihr Mann für sie da";2021-05-18 16:11:19.578747;NaN;NaN;24.01342092943302
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Als ihr Mann für sie das";2021-05-18 16:11:20.058104;NaN;NaN;24.030600651187118
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie das";2021-05-18 16:11:20.353839;0.295707;NaN;23.783492607975752
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;66;B;"Als ihr Mann für sie das B";2021-05-18 16:11:21.425723;NaN;NaN;23.331175646543414
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;82;r;"Als ihr Mann für sie das Br";2021-05-18 16:11:21.673566;NaN;NaN;23.537877265130053
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie das Brüten";2021-05-18 16:11:22.257842;0.832132;NaN;24.6547631991525
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;220;ü;"Als ihr Mann für sie das Brüten ü";2021-05-18 16:11:23.126888;NaN;NaN;24.3558333981078
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;66;b;"Als ihr Mann für sie das Brüten üb";2021-05-18 16:11:23.393898;NaN;NaN;24.528679073083865
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Als ihr Mann für sie das Brüten übe";2021-05-18 16:11:23.503078;NaN;NaN;24.820829339122852
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;82;r;"Als ihr Mann für sie das Brüten über";2021-05-18 16:11:23.646939;NaN;NaN;25.083813945240287
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie das Brüten übernimmt";2021-05-18 16:11:24.586060;1.459107;NaN;26.188434332637307
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Als ihr Mann für sie das Brüten übernimmt";2021-05-18 16:11:25.201937;NaN;NaN;25.708516600739003
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;44;,;"Als ihr Mann für sie das Brüten übernimmt,";2021-05-18 16:11:25.681693;0.479742;NaN;25.346685599623815
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie das Brüten übernimmt,";2021-05-18 16:11:25.881703;NaN;NaN;25.198830144310552
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;66;b;"Als ihr Mann für sie das Brüten übernimmt, b";2021-05-18 16:11:26.258062;NaN;NaN;25.27141893391827
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Als ihr Mann für sie das Brüten übernimmt, be";2021-05-18 16:11:26.426443;NaN;NaN;25.493757818947003
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie das Brüten übernimmt, beschließt";2021-05-18 16:11:29.017569;2.759507;NaN;26.29386877483638
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;68;d;"Als ihr Mann für sie das Brüten übernimmt, beschließt d";2021-05-18 16:11:29.273922;NaN;NaN;26.43345354185188
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Als ihr Mann für sie das Brüten übernimmt, beschließt di";2021-05-18 16:11:29.423990;NaN;NaN;26.64580328466095
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Als ihr Mann für sie das Brüten übernimmt, beschließt die";2021-05-18 16:11:29.550797;NaN;NaN;26.87293771609168
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als ihr Mann für sie das Brüten übernimmt, beschließt die";2021-05-18 16:11:29.994118;0.720143;NaN;26.56269022759929
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;65;A;"Als ihr Mann für sie das Brüten übernimmt, beschließt die A";2021-05-18 16:11:30.258827;NaN;NaN;26.691196358906996
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Als ihr Mann für sie das Brüten übernimmt, beschließt die An";2021-05-18 16:11:30.409859;NaN;NaN;26.896491865318335
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Als ihr Mann für sie das Brüten übernimmt, beschließt die A";2021-05-18 16:11:31.151189;NaN;NaN;26.08907147755886
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Als ihr Mann für sie das Brüten übernimmt, beschließt die";2021-05-18 16:11:31.329583;NaN;NaN;25.669936907573405
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;E;"Als ihr Mann für sie das Brüten übernimmt, beschließt die E";2021-05-18 16:11:31.578356;NaN;NaN;25.810345431707663
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Als ihr Mann für sie das Brüten übernimmt, beschließt die En";2021-05-18 16:11:31.794234;NaN;NaN;25.970248741748907
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;84;t;"Als ihr Mann für sie das Brüten übernimmt, beschließt die Ent";2021-05-18 16:11:31.982668;NaN;NaN;26.146204674124327
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;44;,;"Als ihr Mann für sie das Brüten übernimmt, beschließt die Entenmutter,";2021-05-18 16:11:34.377674;4.118841;NaN;26.92640613514424
sentence_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777220;<RETURN>;"Als ihr Mann für sie das Brüten übernimmt, beschließt die Entenmutter,";2021-05-18 16:11:34.729642;NaN;27.057086;26.70669951467065
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"i";2021-05-18 16:11:35.594012;NaN;NaN;26.454776332593443
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"in";2021-05-18 16:11:35.810109;NaN;NaN;26.59687610191299
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"in";2021-05-18 16:11:35.994006;0.400082;NaN;26.48671973665354
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;68;d;"in d";2021-05-18 16:11:36.110954;NaN;NaN;26.686701760428267
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"in di";2021-05-18 16:11:36.273685;NaN;NaN;26.858064996830638
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"in die";2021-05-18 16:11:36.398693;NaN;NaN;27.050976829298317
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"in die";2021-05-18 16:11:36.609869;0.498843;NaN;26.92406307925889
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;E;"in die E";2021-05-18 16:11:37.134756;NaN;NaN;26.877260838217005
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"in die";2021-05-18 16:11:37.513417;NaN;NaN;26.394285767796056
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;87;W;"in die W";2021-05-18 16:11:37.809951;NaN;NaN;26.48458256500456
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"in die We";2021-05-18 16:11:38.159560;NaN;NaN;26.543446661394917
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;76;l;"in die Wel";2021-05-18 16:11:38.350887;NaN;NaN;26.69148176007224
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"in die Welt";2021-05-18 16:11:39.185829;2.051026;NaN;26.475353798977935
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;65;a;"in die Welt a";2021-05-18 16:11:40.097805;NaN;NaN;26.224960806363118
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;85;u;"in die Welt au";2021-05-18 16:11:40.338127;NaN;NaN;26.341844641831848
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"in die Welt aus";2021-05-18 16:11:40.526757;NaN;NaN;26.485539906811365
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"in die Welt auszuziehen";2021-05-18 16:11:41.058039;0.960231;NaN;28.141882476021475
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;85;u;"in die Welt auszuziehen u";2021-05-18 16:11:41.985882;NaN;NaN;27.861849519579554
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"in die Welt auszuziehen un";2021-05-18 16:11:42.194540;NaN;NaN;27.98410510735017
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;68;d;"in die Welt auszuziehen und";2021-05-18 16:11:42.302903;NaN;NaN;28.160955875923463
word_finished;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"in die Welt auszuziehen und";2021-05-18 16:11:42.474084;0.488161;NaN;28.066208736727763
key_pressed;1;auto_complete;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"in die Welt auszuziehen und e";2021-05-18 16:11:42.681769;NaN;NaN;28.187004252498948
