log_type;participant_id;keyboard_type;txt_file;key_limit;key_code;key_value;content;timestamp;word_time_in_s;sentence_time_in_s;words_per_minute
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;71;G;G;2021-05-18 21:26:36.694914;NaN;NaN;71428.5714285714
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;76;l;Gl;2021-05-18 21:26:36.781394;NaN;NaN;276.9859314229
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;220;ü;Glü;2021-05-18 21:26:36.916462;NaN;NaN;162.370610919424
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;67;c;Glüc;2021-05-18 21:26:37.061693;NaN;NaN;130.808724941954
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;75;k;Glück;2021-05-18 21:26:37.133237;NaN;NaN;136.831038752831
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;76;l;Glückl;2021-05-18 21:26:37.230799;NaN;NaN;134.31532761747
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glückli;2021-05-18 21:26:37.324480;NaN;NaN;133.389865228597
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;67;c;Glücklic;2021-05-18 21:26:37.420096;NaN;NaN;132.35026497626
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;72;h;Glücklich;2021-05-18 21:26:37.492134;NaN;NaN;135.442558560095
word_finished;4;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich;2021-05-18 21:26:37.555963;0.861088;NaN;125.404662266666
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;83;s;Glücklich s;2021-05-18 21:26:37.638866;NaN;NaN;127.103160102318
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich se;2021-05-18 21:26:37.716382;NaN;NaN;129.204783709234
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sei;2021-05-18 21:26:37.755978;NaN;NaN;135.691603139753
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein;2021-05-18 21:26:37.820006;NaN;NaN;138.634749866475
word_finished;4;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein;2021-05-18 21:26:37.884305;0.245436;NaN;131.141587519356
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;72;h;Glücklich sein h;2021-05-18 21:26:38.079392;NaN;NaN;121.330738203655
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein he;2021-05-18 21:26:38.212341;NaN;NaN;118.608876029344
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sein hei;2021-05-18 21:26:38.284521;NaN;NaN;120.771959267141
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;223;ß;Glücklich sein heiß;2021-05-18 21:26:38.387921;NaN;NaN;120.483848962864
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;84;t;Glücklich sein heißt;2021-05-18 21:26:38.500299;NaN;NaN;119.631071069164
word_finished;4;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein heißt;2021-05-18 21:26:38.559589;0.480234;NaN;115.827755547667
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein heißt e;2021-05-18 21:26:38.652520;NaN;NaN;116.459032470617
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sein heißt ei;2021-05-18 21:26:38.724381;NaN;NaN;118.247920561047
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein heißt ein;2021-05-18 21:26:38.771969;NaN;NaN;121.315931236975
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein heißt eine;2021-05-18 21:26:38.860313;NaN;NaN;121.908139446288
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein heißt einen;2021-05-18 21:26:38.932059;NaN;NaN;123.362430776245
word_finished;4;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein heißt einen;2021-05-18 21:26:39.036465;0.383947;NaN;117.862386269203
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;71;g;Glücklich sein heißt einen g;2021-05-18 21:26:39.148334;NaN;NaN;117.379359084245
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;85;u;Glücklich sein heißt einen gu;2021-05-18 21:26:39.212078;NaN;NaN;119.173886617964
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;84;t;Glücklich sein heißt einen gut;2021-05-18 21:26:39.356174;NaN;NaN;117.230298922233
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein heißt einen gute;2021-05-18 21:26:39.419925;NaN;NaN;118.891360084134
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein heißt einen guten;2021-05-18 21:26:39.468930;NaN;NaN;121.116739595045
word_finished;4;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein heißt einen guten;2021-05-18 21:26:39.539944;0.391608;NaN;118.093963430236
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;71;g;Glücklich sein heißt einen guten g;2021-05-18 21:26:39.799326;NaN;NaN;112.092493056224
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein heißt einen guten ge;2021-05-18 21:26:39.852108;NaN;NaN;114.019307269364
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein heißt einen guten gen;2021-05-18 21:26:39.924379;NaN;NaN;115.183401700256
key_pressed;4;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sein heißt einen guten geni;2021-05-18 21:26:40.020017;NaN;NaN;115.479379262249
