log_type,participant_id,keyboard_type,txt_file,key_limit,key_code,key_value,content,timestamp,word_time_in_s,sentence_time_in_s,words_per_minute
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,71,G,G,2021-05-18 16:05:00.764843,,,90909.09090909091
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,76,l,Gl,2021-05-18 16:05:00.965212,,,119.69298748709562
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,220,ü,Glü,2021-05-18 16:05:01.428062,,,54.269256918199645
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,67,c,Glüc,2021-05-18 16:05:01.652044,,,54.09413732247543
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,75,k,Glück,2021-05-18 16:05:02.011900,,,48.10776138550352
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,76,l,Glückl,2021-05-18 16:05:02.228888,,,49.17421468096179
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,73,i,Glückli,2021-05-18 16:05:02.483783,,,48.86328866220459
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,67,c,Glücklic,2021-05-18 16:05:02.632672,,,51.39296344675475
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,72,h,Glücklich,2021-05-18 16:05:02.796291,,,53.16028021374372
word_finished,1,normal,marc_aurel_selbstbetrachtungen.txt,2,32, ,Glücklich,2021-05-18 16:05:03.195759,2.430893,,44.425303171843254
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,83,s,Glücklich s,2021-05-18 16:05:03.757363,,,40.098200493007376
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,69,e,Glücklich se,2021-05-18 16:05:03.963312,,,41.26792575524994
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,73,i,Glücklich sei,2021-05-18 16:05:04.049114,,,43.84358435916664
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,78,n,Glücklich sein,2021-05-18 16:05:04.251918,,,44.73477440482677
word_finished,1,normal,marc_aurel_selbstbetrachtungen.txt,2,32, ,Glücklich sein,2021-05-18 16:05:04.427600,0.6702319999999999,,42.58933317389635
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,72,h,Glücklich sein h,2021-05-18 16:05:04.667932,,,43.041342234009626
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,69,e,Glücklich sein he,2021-05-18 16:05:04.832978,,,44.244894507881234
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,73,i,Glücklich sein hei,2021-05-18 16:05:04.841111,,,47.1003942450187
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,223,ß,Glücklich sein heiß,2021-05-18 16:05:05.331719,,,44.668115898871385
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,84,t,Glücklich sein heißt,2021-05-18 16:05:05.635666,,,44.34440492682763
word_finished,1,normal,marc_aurel_selbstbetrachtungen.txt,2,32, ,Glücklich sein heißt,2021-05-18 16:05:05.849436,1.181658,,42.48019852412777
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,69,e,Glücklich sein heißt e,2021-05-18 16:05:06.788470,,,37.850107266871966
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,73,i,Glücklich sein heißt ei,2021-05-18 16:05:06.976810,,,38.63429070178867
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,78,n,Glücklich sein heißt ein,2021-05-18 16:05:07.161015,,,39.397752201896594
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,69,e,Glücklich sein heißt eine,2021-05-18 16:05:07.193161,,,41.067442385022844
key_pressed,1,normal,marc_aurel_selbstbetrachtungen.txt,2,78,n,Glücklich sein heißt einen,2021-05-18 16:05:07.360907,,,41.84230454072386
