log_type;participant_id;keyboard_type;txt_file;key_limit;key_code;key_value;content;timestamp;word_time_in_s;sentence_time_in_s;words_per_minute
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;71;G;"G";2021-05-17 22:01:38.918322;NaN;NaN;117647.05882352941
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;76;l;"Gl";2021-05-17 22:01:39.038737;NaN;NaN;199.13211586170277
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;80;p;"Glp";2021-05-17 22:01:39.214387;NaN;NaN;121.55058023520036
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;67;c;"Glpc";2021-05-17 22:01:39.382624;NaN;NaN;103.35672496990813
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;16777219;<BACKSPACE>;"Glp";2021-05-17 22:01:39.749860;NaN;NaN;43.28764883135372
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;16777219;<BACKSPACE>;"Gl";2021-05-17 22:01:39.854472;NaN;NaN;25.633932490902627
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;220;ü;"Glü";2021-05-17 22:01:40.702373;NaN;NaN;20.17757385972887
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;67;c;"Glüc";2021-05-17 22:01:41.030466;NaN;NaN;22.724561273938907
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;75;k;"Glück";2021-05-17 22:01:41.142264;NaN;NaN;26.977798620625162
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;76;l;"Glückl";2021-05-17 22:01:41.270619;NaN;NaN;30.606974564328848
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;"Glückli";2021-05-17 22:01:41.430489;NaN;NaN;33.435830074335016
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;67;c;"Glücklic";2021-05-17 22:01:41.558687;NaN;NaN;36.35712237921009
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;72;h;"Glücklich";2021-05-17 22:01:41.678400;NaN;NaN;39.12779790927134
word_finished;1;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;"Glücklich";2021-05-17 22:01:41.782313;2.863975;NaN;37.70828590701695
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;83;s;"Glücklich s";2021-05-17 22:01:41.918221;NaN;NaN;39.999973333351114
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;"Glücklich se";2021-05-17 22:01:42.006379;NaN;NaN;42.743816232676615
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;"Glücklich sei";2021-05-17 22:01:42.110476;NaN;NaN;45.10907939260625
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;"Glücklich sein";2021-05-17 22:01:42.191646;NaN;NaN;47.65637553712707
word_finished;1;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;"Glücklich sein";2021-05-17 22:01:42.342394;0.424219;NaN;45.5584324861996
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;72;h;"Glücklich sein h";2021-05-17 22:01:42.646060;NaN;NaN;45.06631185887806
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;"Glücklich sein he";2021-05-17 22:01:42.774366;NaN;NaN;46.678621580304736
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;"Glücklich sein hei";2021-05-17 22:01:42.918414;NaN;NaN;47.99755212484163
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;223;ß;"Glücklich sein heiß";2021-05-17 22:01:43.270200;NaN;NaN;46.87515079322406
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;84;t;"Glücklich sein heißt";2021-05-17 22:01:43.422664;NaN;NaN;47.95258022622073
word_finished;1;normal;marc_aurel_selbstbetrachtungen.txt;2;32; ;"Glücklich sein heißt";2021-05-17 22:01:43.590566;0.944501;NaN;46.229462935635105
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;"Glücklich sein heißt e";2021-05-17 22:01:43.974542;NaN;NaN;45.09207386160808
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;73;i;"Glücklich sein heißt ei";2021-05-17 22:01:44.070781;NaN;NaN;46.578724740503134
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;"Glücklich sein heißt ein";2021-05-17 22:01:44.166197;NaN;NaN;48.01844823049161
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;69;e;"Glücklich sein heißt eine";2021-05-17 22:01:44.303748;NaN;NaN;49.020208580987514
key_pressed;1;normal;marc_aurel_selbstbetrachtungen.txt;2;78;n;"Glücklich sein heißt einen";2021-05-17 22:01:44.438334;NaN;NaN;49.99890400953168
