log_type;participant_id;keyboard_type;txt_file;key_limit;key_code;key_value;content;timestamp;word_time_in_s;sentence_time_in_s;words_per_minute
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;87;W;"W";2021-05-17 22:03:58.438504;NaN;NaN;118811.88118811882
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;196;ä;"Wä";2021-05-17 22:03:58.640265;NaN;NaN;118.88898245892139
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;82;r;"Wär";2021-05-17 22:03:58.958821;NaN;NaN;69.17370092750403
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wär";2021-05-17 22:03:59.094901;0.656386;NaN;54.836419912931945
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Wär";2021-05-17 22:03:59.478328;NaN;NaN;34.6177812310083
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre";2021-05-17 22:03:59.606381;NaN;NaN;41.09638300459081
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre";2021-05-17 22:03:59.690419;0.212157;NaN;38.33819882349652
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre e";2021-05-17 22:04:00.018302;NaN;NaN;37.97711119508273
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;79;o;"Wäre eo";2021-05-17 22:04:00.178178;NaN;NaN;41.38447151167703
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Wäre e";2021-05-17 22:04:00.506100;NaN;NaN;29.01767902094351
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ei";2021-05-17 22:04:01.154310;NaN;NaN;26.510402571509047
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Wäre ein";2021-05-17 22:04:01.266353;NaN;NaN;29.703411436803513
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein";2021-05-17 22:04:01.370462;1.352151;NaN;28.64880959080291
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;80;P;"Wäre ein P";2021-05-17 22:04:01.674719;NaN;NaN;29.663348800503783
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pi";2021-05-17 22:04:02.011130;NaN;NaN;30.22894225292388
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Wäre ein Pin";2021-05-17 22:04:02.202531;NaN;NaN;31.87982580863178
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;71;g;"Wäre ein Ping";2021-05-17 22:04:02.394530;NaN;NaN;33.36590722154508
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;85;u;"Wäre ein Pingu";2021-05-17 22:04:02.506571;NaN;NaN;35.39666386443078
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pingui";2021-05-17 22:04:02.626423;NaN;NaN;37.249043523358374
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Wäre ein Pinguin";2021-05-17 22:04:02.818592;NaN;NaN;38.354439309464844
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin";2021-05-17 22:04:02.938280;1.263552;NaN;37.33435380567069
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;86;v;"Wäre ein Pinguin v";2021-05-17 22:04:03.379573;NaN;NaN;36.42860438778492
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pinguin vi";2021-05-17 22:04:03.522574;NaN;NaN;37.764187041297895
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vie";2021-05-17 22:04:04.146241;NaN;NaN;35.74027750573509
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;76;l;"Wäre ein Pinguin viel";2021-05-17 22:04:04.578375;NaN;NaN;35.17927341445304
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;76;l;"Wäre ein Pinguin viell";2021-05-17 22:04:04.787189;NaN;NaN;35.912309700198364
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielle";2021-05-17 22:04:05.082298;NaN;NaN;36.12335040462668
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pinguin viellei";2021-05-17 22:04:05.171086;NaN;NaN;37.42931318250014
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;67;c;"Wäre ein Pinguin vielleic";2021-05-17 22:04:05.338486;NaN;NaN;38.2603649719982
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;72;h;"Wäre ein Pinguin vielleich";2021-05-17 22:04:05.474568;NaN;NaN;39.22586894893005
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;84;t;"Wäre ein Pinguin vielleicht";2021-05-17 22:04:05.914219;NaN;NaN;38.52418141465074
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht";2021-05-17 22:04:06.042558;2.662995;NaN;37.87403071084164
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;68;d;"Wäre ein Pinguin vielleicht d";2021-05-17 22:04:06.250859;NaN;NaN;38.40017694801538
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Wäre ein Pinguin vielleicht di";2021-05-17 22:04:06.386110;NaN;NaN;39.25656619544109
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die";2021-05-17 22:04:06.506601;NaN;NaN;40.15763109638389
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht die";2021-05-17 22:04:06.650289;0.399518;NaN;39.4550046116081
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;66;b;"Wäre ein Pinguin vielleicht die b";2021-05-17 22:04:06.874429;NaN;NaN;39.82917551117369
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die be";2021-05-17 22:04:06.962612;NaN;NaN;40.82486882078071
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Wäre ein Pinguin vielleicht die bes";2021-05-17 22:04:07.322699;NaN;NaN;40.52090524152542
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Wäre ein Pinguin vielleicht die bess";2021-05-17 22:04:07.522717;NaN;NaN;40.94967582057041
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die besse";2021-05-17 22:04:07.899006;NaN;NaN;40.589327438015395
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;82;r;"Wäre ein Pinguin vielleicht die besser";2021-05-17 22:04:07.978747;NaN;NaN;41.50789808301643
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die bessere";2021-05-17 22:04:08.122599;NaN;NaN;42.130463174877356
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht die bessere";2021-05-17 22:04:08.226652;1.352189;NaN;41.68262116668022
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;E;"Wäre ein Pinguin vielleicht die bessere E";2021-05-17 22:04:08.554875;NaN;NaN;41.516437296587995
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;78;n;"Wäre ein Pinguin vielleicht die bessere En";2021-05-17 22:04:08.682585;NaN;NaN;42.170248908918026
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;84;t;"Wäre ein Pinguin vielleicht die bessere Ent";2021-05-17 22:04:08.810418;NaN;NaN;42.80746801346931
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;69;e;"Wäre ein Pinguin vielleicht die bessere Ente";2021-05-17 22:04:08.922226;NaN;NaN;43.49555458262868
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Wäre ein Pinguin vielleicht die bessere Ente";2021-05-17 22:04:09.106866;0.551989;NaN;42.74278982564128
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777219;<BACKSPACE>;"Wäre ein Pinguin vielleicht die bessere Ente";2021-05-17 22:04:09.530404;NaN;NaN;41.11070300924936
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;63;?;"Wäre ein Pinguin vielleicht die bessere Ente?";2021-05-17 22:04:09.810842;0.280395;NaN;40.09693610166332
sentence_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;16777220;<RETURN>;"Wäre ein Pinguin vielleicht die bessere Ente?";2021-05-17 22:04:10.235230;NaN;11.796714;38.65446519258655
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;65;A;"A";2021-05-17 22:04:10.882824;NaN;NaN;37.60721370644725
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;76;l;"Al";2021-05-17 22:04:11.074849;NaN;NaN;37.98534288063272
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;83;s;"Als";2021-05-17 22:04:11.154457;NaN;NaN;38.69122374521294
word_finished;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;32; ;"Als";2021-05-17 22:04:11.274806;0.39198;NaN;38.32849436092026
key_pressed;1;normal;paola_mastrocola_ich_waer_so_gern_ein_pinguin.txt;2;73;i;"Als i";2021-05-17 22:04:11.428316;NaN;NaN;38.799333082574684
